Body of European Regulators for Electronic Communications,http://dbpedia.org/resource/Body_of_European_Regulators_of_Electronic_Communications,Body of European Regulators of Electronic Communications
Committee of the Regions,http://dbpedia.org/resource/Committee_of_the_Regions,Committee of the Regions
Council of the European Union,http://dbpedia.org/resource/Council_of_the_European_Union,Council of the European Union
Directorate-General for Agriculture and Rural Development,http://dbpedia.org/resource/Directorate-General_for_Agriculture_and_Rural_Development,Directorate-General for Agriculture and Rural Development
Directorate-General for Competition,http://dbpedia.org/resource/Directorate-General_for_Competition_(European_Commission),Directorate-General for Competition (European Commission)
Directorate-General for Economic and Financial Affairs,http://dbpedia.org/resource/Directorate-General_for_Economic_and_Financial_Affairs_(European_Commission),Directorate-General for Economic and Financial Affairs (European Commission)
Directorate-General for Education and Culture,http://dbpedia.org/resource/Directorate-General_for_Education_and_Culture_(European_Commission),Directorate-General for Education and Culture (European Commission)
Directorate-General for Energy,http://dbpedia.org/resource/Directorate-General_for_Mobility_and_Transport_(European_Commission),Directorate-General for Mobility and Transport (European Commission)
Directorate-General for Informatics,http://dbpedia.org/resource/Directorate-General_for_Informatics_(European_Commission),Directorate-General for Informatics (European Commission)
Directorate-General for Interpretation,http://dbpedia.org/resource/Directorate-General_for_Interpretation_(European_Commission),Directorate-General for Interpretation (European Commission)
Directorate-General for Maritime Affairs and Fisheries,http://dbpedia.org/resource/Directorate-General_for_Maritime_Affairs_and_Fisheries,Directorate-General for Maritime Affairs and Fisheries
Directorate-General for Mobility and Transport,http://dbpedia.org/resource/Directorate-General_for_Mobility_and_Transport_(European_Commission),Directorate-General for Mobility and Transport (European Commission)
Directorate-General for Research and Innovation,http://dbpedia.org/resource/Directorate-General_for_Research_and_Innovation_(European_Commission),Directorate-General for Research and Innovation (European Commission)
Directorate-General for Taxation and Customs Union,http://dbpedia.org/resource/Directorate-General_for_Taxation_and_Customs_Union_(European_Commission),Directorate-General for Taxation and Customs Union (European Commission)
Directorate-General for the Environment,http://dbpedia.org/resource/Directorate-General_for_the_Environment_(European_Commission),Directorate-General for the Environment (European Commission)
Directorate-General for Translation,http://dbpedia.org/resource/Directorate-General_for_Translation_(European_Commission),Directorate-General for Translation (European Commission)
